start,end,location_id
16777216,16777471,17
16777472,16778239,49
16778240,16778495,423299
16778496,16779263,17
16779264,16781311,49
16781312,16785407,14614
16785408,16793599,47667
16793600,16809983,111
16809984,16810239,22537
16810240,16811007,209
16811008,16811263,186241
16811264,16811519,22537
16811520,16812031,449853
16812032,16814335,209
16814336,16814591,111885
16814592,16815103,209
16815104,16815359,22537
16815360,16817919,209
16817920,16818175,111885
16818176,16818943,209
16818944,16819199,22537
16819200,16819711,209
16819712,16819967,22537
16819968,16821759,209
16821760,16822015,22537
16822016,16822271,111801
16822272,16823039,209
16823040,16823295,514178
16823296,16823807,209
16823808,16824063,253018
16824064,16824319,109220
16824320,16824575,22537
16824576,16824831,209
16824832,16825087,111801
16825088,16825855,209
16825856,16826111,253018
16826112,16826367,514179
16826368,16828415,209
16828416,16828927,449862
16828928,16831999,209
16832000,16832255,205808
16832256,16833023,209
16833024,16833535,467003
16833536,16833791,209
16833792,16834047,22537
16834048,16835071,209
16835072,16835327,29727
16835328,16835583,209
16835584,16835839,467365
16835840,16836095,209
16836096,16836351,459931
16836352,16836607,195756
16836608,16836863,449867
16836864,16837375,209
16837376,16837631,29727
16837632,16838143,209
16838144,16838399,29727
16838400,16838655,195756
16838656,16838911,29727
16838912,16839167,209
16839168,16839423,207346
16839424,16839935,29727
16839936,16840191,209
16840192,16840447,29727
16840448,16840703,209
16840704,16841215,29727
16841216,16841471,449866
16841472,16842239,209
16842240,16842495,29727
16842496,16842751,209
16842752,16843007,49
16843008,16843263,17
16843264,16850943,49
16850944,16859135,47667
16859136,16875519,14614
16875520,16875775,209
16875776,16876031,108359
16876032,16880895,209
16880896,16881407,186242
16881408,16881663,209
16881664,16881919,22537
16881920,16882175,209
16882176,16882431,449871
16882432,16882687,22537
16882688,16883455,209
16883456,16884223,22537
16884224,16884735,209
16884736,16884991,22537
16884992,16885247,209
16885248,16885503,22537
16885504,16887551,209
16887552,16887807,22537
16887808,16890111,209
16890112,16890367,111753
16890368,16891903,209
16891904,16892159,449873
16892160,16892671,209
16892672,16892927,22537
16892928,16893183,209
16893184,16893439,22537
16893440,16893695,287793
16893696,16894207,209
16894208,16894335,287793
16894336,16895231,209
16895232,16895743,111753
16895744,16897023,209
16897024,16897279,22537
16897280,16897535,209
16897536,16897791,514180
