country,region,city,zipcode,latitude,longitude,metro_code,area_code
O1,,,,0,0,,
AP,,,,35,105,,
EU,,,,47,8,,
AD,,,,42.5,1.5,,
AE,,,,24,54,,
AF,,,,33,65,,
AG,,,,17.05,-61.8,,
AI,,,,18.25,-63.1667,,
AL,,,,41,20,,
AM,,,,40,45,,
AN,,,,12.25,-68.75,,
AO,,,,-12.5,18.5,,
AQ,,,,-90,0,,
AR,,,,-34,-64,,
AS,,,,-14.3333,-170,,
AT,,,,47.3333,13.3333,,
AU,,,,-27,133,,
AW,,,,12.5,-69.9667,,
AZ,,,,40.5,47.5,,
BA,,,,44,18,,
BB,,,,13.1667,-59.5333,,
BD,,,,24,90,,
BE,,,,50.8333,4,,
BF,,,,13,-2,,
BG,,,,43,25,,
BH,,,,26,50.55,,
BI,,,,-3.5,30,,
BJ,,,,9.5,2.25,,
BM,,,,32.3333,-64.75,,
BN,,,,4.5,114.6667,,
BO,,,,-17,-65,,
BR,,,,-10,-55,,
BS,,,,24.25,-76,,
BT,,,,27.5,90.5,,
BV,,,,-54.4333,3.4,,
BW,,,,-22,24,,
BY,,,,53,28,,
BZ,,,,17.25,-88.75,,
CA,,,,60,-95,,
CC,,,,-12.5,96.8333,,
CD,,,,0,25,,
CF,,,,7,21,,
CG,,,,-1,15,,
CH,,,,47,8,,
CI,,,,8,-5,,
CK,,,,-21.2333,-159.7667,,
CL,,,,-30,-71,,
CM,,,,6,12,,
CN,,,,35,105,,
CO,,,,4,-72,,
CR,,,,10,-84,,
CU,,,,21.5,-80,,
CV,,,,16,-24,,
CX,,,,-10.5,105.6667,,
CY,,,,35,33,,
CZ,,,,49.75,15.5,,
DE,,,,51,9,,
DJ,,,,11.5,43,,
DK,,,,56,10,,
DM,,,,15.4167,-61.3333,,
DO,,,,19,-70.6667,,
DZ,,,,28,3,,
EC,,,,-2,-77.5,,
EE,,,,59,26,,
EG,,,,27,30,,
EH,,,,24.5,-13,,
ER,,,,15,39,,
ES,,,,40,-4,,
ET,,,,8,38,,
FI,,,,64,26,,
FJ,,,,-18,175,,
FK,,,,-51.75,-59,,
FM,,,,6.9167,158.25,,
FO,,,,62,-7,,
FR,,,,48.86,2.35,,
GA,,,,-1,11.75,,
GB,,,,51.5,-0.13,,
GD,,,,12.1167,-61.6667,,
GE,,,,42,43.5,,
GF,,,,4,-53,,
GH,,,,8,-2,,
GI,,,,36.1833,-5.3667,,
GL,,,,72,-40,,
GM,,,,13.4667,-16.5667,,
GN,,,,11,-10,,
GP,,,,16.25,-61.5833,,
GQ,,,,2,10,,
GR,,,,39,22,,
GS,,,,-54.5,-37,,
GT,,,,15.5,-90.25,,
GU,,,,13.4667,144.7833,,
GW,,,,12,-15,,
GY,,,,5,-59,,
HK,,,,22.25,114.1667,,
HM,,,,-53.1,72.5167,,
HN,,,,15,-86.5,,
HR,,,,45.1667,15.5,,
HT,,,,19,-72.4167,,
HU,,,,47,20,,
ID,,,,-5,120,,
IE,,,,53,-8,,
IL,,,,31.5,34.75,,
IN,,,,20,77,,
IO,,,,-6,71.5,,
IQ,,,,33,44,,
IR,,,,32,53,,
IS,,,,65,-18,,
IT,,,,42.8333,12.8333,,
JM,,,,18.25,-77.5,,
JO,,,,31,36,,
JP,,,,35.69,139.69,,
KE,,,,1,38,,
KG,,,,41,75,,
KH,,,,13,105,,
KI,,,,1.4167,173,,
KM,,,,-12.1667,44.25,,
KN,,,,17.3333,-62.75,,
KP,,,,40,127,,
KR,,,,37.57,126.98,,
KW,,,,29.3375,47.6581,,
KY,,,,19.5,-80.5,,
KZ,,,,48,68,,
LA,,,,18,105,,
LB,,,,33.8333,35.8333,,
LC,,,,13.8833,-61.1333,,
LI,,,,47.1667,9.5333,,
LK,,,,7,81,,
LR,,,,6.5,-9.5,,
LS,,,,-29.5,28.5,,
LT,,,,56,24,,
LU,,,,49.75,6.1667,,
LV,,,,57,25,,
LY,,,,25,17,,
